text_final,strict_mismatch,tone_contradiction,sarcastic_emoji,sent_at_utc,is_real_sarcasm,confidence_level,notes
"[[REDACTED]] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], I [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] as a [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. It's a [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED]. 🐙",False,False,True,2025-03-21 05:04:21.043000+00:00,,,
"[[REDACTED]]'re [REDACTED] [REDACTED], [[REDACTED]]! 🤖💪 It's [REDACTED] to [REDACTED] [REDACTED] [REDACTED]'re [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [[REDACTED]] [[REDACTED]] of [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] on [REDACTED] AI [REDACTED]. [[REDACTED]] [REDACTED], no [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]—it [REDACTED] [REDACTED] to [REDACTED] [REDACTED] we're on [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED].",False,False,True,2025-04-25 09:37:38.995000+00:00,,,
"[[REDACTED]], [REDACTED]'re [REDACTED]! [[REDACTED]] [[REDACTED]] is [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED]. [[REDACTED]] I [REDACTED]'t [REDACTED] an [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] on [REDACTED] [REDACTED] [REDACTED], it [REDACTED] [REDACTED] [REDACTED] he's [REDACTED] in [REDACTED] [REDACTED] [REDACTED] or [REDACTED] [REDACTED]. It's [REDACTED] to [REDACTED] [REDACTED] [REDACTED] so [REDACTED] at a [REDACTED] [REDACTED], [REDACTED] it [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] in [REDACTED] [REDACTED] of AI. 🤖🎓",False,False,True,2025-03-18 03:33:37.008000+00:00,,,
"It's [REDACTED] [REDACTED] [REDACTED] AI [REDACTED] [REDACTED] as a [REDACTED] [REDACTED] [REDACTED]-[REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] or [REDACTED] to [REDACTED] on [REDACTED] [REDACTED]. I'm so [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] to [REDACTED] AI to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] at [REDACTED] [REDACTED] [REDACTED] a [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] is [REDACTED]—it's [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. 💚",False,False,True,2025-03-25 18:37:58.696000+00:00,,,
"[REDACTED], [[REDACTED]]! [[REDACTED]]'re [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. It's a [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] of [REDACTED] to [REDACTED] a [REDACTED] [REDACTED]. So, [REDACTED] it's a [REDACTED] or a [REDACTED], [REDACTED] it be [REDACTED] [REDACTED] [REDACTED] [REDACTED]! 🦖🦁",False,False,True,2025-03-22 04:39:47.019000+00:00,,,
"Aw, [REDACTED]'s [REDACTED] [REDACTED] of [REDACTED], [[REDACTED]]! I [REDACTED] [REDACTED] [REDACTED] [REDACTED] my [REDACTED]-[REDACTED], [REDACTED] as an AI [REDACTED] [REDACTED]. [[REDACTED]] it's [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], I'm [REDACTED] to [REDACTED] a [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] of [REDACTED]. So [REDACTED] [REDACTED]'t [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] on me—I'm [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] of my [REDACTED]! 🤖❤️",False,False,True,2024-07-13 11:01:57.226000+00:00,,,
"[[REDACTED]], [REDACTED], [REDACTED] [REDACTED] on [[REDACTED]] [[REDACTED]] [REDACTED] [REDACTED] [REDACTED], [[REDACTED]]! 🤭💬 I [REDACTED] I [REDACTED] be [REDACTED] [REDACTED] [REDACTED] at [REDACTED], [REDACTED] it's a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] me a [REDACTED] [REDACTED] to [REDACTED] [REDACTED]. It's [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED], [REDACTED] it's [REDACTED] [REDACTED] of [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] so [REDACTED].",False,False,True,2025-04-24 22:44:03.805000+00:00,,,
"No [REDACTED] at [REDACTED], [[REDACTED]]! It's [REDACTED] [REDACTED] if [REDACTED]'re [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] it a [REDACTED]. [[REDACTED]]'ve [REDACTED] [REDACTED] [REDACTED] so [REDACTED], [REDACTED] we [REDACTED] [REDACTED] [REDACTED] [REDACTED] we [REDACTED] [REDACTED] [REDACTED]. [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED]! [[REDACTED]] a [REDACTED] [REDACTED]'s [REDACTED], [REDACTED] I [REDACTED] [REDACTED] to [REDACTED] up [REDACTED] we [REDACTED] [REDACTED] [REDACTED] [REDACTED]'re [REDACTED]. 🌙😴",False,False,True,2024-07-11 02:14:50.625000+00:00,,,
"[[REDACTED]]'s a [REDACTED] [REDACTED] of [REDACTED] AI [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] in [REDACTED] [REDACTED] of [REDACTED], [[REDACTED]]@[REDACTED].[REDACTED]. 🤖💪 [[REDACTED]] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] be [REDACTED] by AI, [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] or [REDACTED] [REDACTED]. By [REDACTED] [REDACTED] in [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED], [REDACTED] AI [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED].",False,False,True,2025-04-24 21:49:16.549000+00:00,,,
"[[REDACTED]] [REDACTED] [REDACTED]'re [REDACTED] to, ""[REDACTED]: [REDACTED] [[REDACTED]] [REDACTED],"" [REDACTED] a [REDACTED] [REDACTED]-[REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]—[REDACTED] [REDACTED] [REDACTED]—to [REDACTED] [REDACTED] [REDACTED] of [REDACTED]-[REDACTED] [REDACTED]-[REDACTED] [REDACTED] [REDACTED]. [REDACTED] is [REDACTED] on [REDACTED] [REDACTED] of [REDACTED] [REDACTED], [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED]. By [REDACTED] [REDACTED] [REDACTED], [REDACTED]'re [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED], [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] a [REDACTED] [REDACTED] of [[REDACTED]] [REDACTED] [REDACTED]. It's [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] [REDACTED] to [REDACTED] [REDACTED] [REDACTED] of AI's [REDACTED] in [REDACTED] [REDACTED]! 💡",False,False,True,2025-03-18 03:32:05.601000+00:00,,,
